	protein	gene
BSU35860	Gamma-DL-glutamyl hydrolase (EC 3.4.19.-) (Poly-gamma-glutamate depolymerase) (PGA depolymerase)	pgdS ywtD BSU35860
BSU35870	Uncharacterized protein YwtC	ywtC BSU35870
BSU35880	PGA biosynthesis protein CapA	capA pgsA ywtB BSU35880
BSU35890	PGA biosynthesis protein CapC	capC pgsC ywtA BSU35890
BSU35900	PGA synthase CapB (EC 6.3.2.-) (Gamma-polyglutamic acid synthase)	capB pgsB ywsC BSU35900
BSU35910	Ribose operon repressor	rbsR BSU35910
BSU35920	Ribokinase (RK) (EC 2.7.1.15)	rbsK BSU35920
BSU35930	D-ribose pyranase (EC 5.4.99.62)	rbsD BSU35930
BSU35940	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)	rbsA BSU35940
BSU35950	Ribose import permease protein RbsC	rbsC BSU35950
BSU35960	Ribose import binding protein RbsB	rbsB BSU35960
BSU35970	Cell wall-binding protein YwsB	ywsB BSU35970
BSU35980	Uncharacterized protein YwsA	ywsA BSU35980
BSU35990	General stress protein 14 (GSP14) (EC 1.6.99.-)	ywrO BSU35990
BSU36000	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	alsD BSU36000
BSU36010	Acetolactate synthase (EC 2.2.1.6) (ALS) (Acetohydroxy-acid synthase)	alsS BSU36010
BSU36020	HTH-type transcriptional regulator AlsR (Als operon regulatory protein)	alsR BSU36020
BSU36030	Putative arsenical pump membrane protein	ywrK BSU36030
BSU36040	Uncharacterized protein YwrJ	ywrJ BSU36040
BSU36050	Spore coat protein B	cotB BSU36050
BSU36060	Inner spore coat protein H	cotH ywrH BSU36060
BSU36070	Spore coat protein G	cotG BSU36070
BSU36079	NA	NA
BSU36080	Uncharacterized protein YwrF	ywrF BSU36080
BSU36090	Uncharacterized protein YwrE	ywrE BSU36090
BSU36100	Glutathione hydrolase-like YwrD proenzyme (EC 2.3.2.2) (Putative gamma-glutamyltransferase YwrD) (EC 3.4.19.13) [Cleaved into: Glutathione hydrolase-like YwrD large chain; Glutathione hydrolase-like YwrD small chain]	ywrD BSU36100
BSU36110	Uncharacterized HTH-type transcriptional regulator YwrC	ywrC BSU36110
BSU36120	Uncharacterized transporter YwrB	ywrB BSU36120
BSU36130	Uncharacterized transporter YwrA	ywrA BSU36130
BSU36140	Uncharacterized protein YwqO	ywqO BSU36140
BSU36150	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN (EC 1.-.-.-)	ywqN BSU36150
BSU36160	Uncharacterized HTH-type transcriptional regulator YwqM	ywqM BSU36160
BSU36170	Endonuclease V (EC 3.1.21.7) (Deoxyinosine 3'endonuclease) (Deoxyribonuclease V) (DNase V)	nfi ywqL BSU36170
BSU36180	Immunity protein YwqK	ywqK BSU36180
BSU36190	Toxin YwqJ	ywqJ BSU36190
BSU36200	Protein YwqI	ywqI BSU36200
BSU36210	Protein YwqH	ywqH BSU36210
BSU36215	NA	NA
BSU36220	Uncharacterized protein YwqG	ywqG BSU36220
BSU36230	UDP-glucose 6-dehydrogenase YwqF (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	ywqF BSU36230
BSU36240	Tyrosine-protein phosphatase YwqE (EC 3.1.3.48)	ywqE BSU36240
BSU36250	Tyrosine-protein kinase YwqD (EC 2.7.10.2)	ywqD BSU36250
BSU36260	Probable capsular polysaccharide biosynthesis protein YwqC	ywqC BSU36260
BSU36269	Uncharacterized protein YwzD	ywzD BSU36269
BSU36270	Uncharacterized protein YwqB	ywqB BSU36270
BSU36280	Uncharacterized ATP-dependent helicase YwqA (EC 3.6.4.-)	ywqA BSU36280
BSU36290	Phosphatase YwpJ (EC 3.1.3.-)	ywpJ BSU36290
BSU36300	HTH-type transcriptional repressor GlcR	glcR ywpI BSU36300
BSU36310	Single-stranded DNA-binding protein B (SSB B)	ssbB ywpH BSU36310
BSU36320	Protein YwpG	ywpG BSU36320
BSU36330	Uncharacterized protein YwpF	ywpF BSU36330
BSU36340	Putative sortase YwpE (EC 3.4.22.-)	ywpE BSU36340
BSU36350	Putative uncharacterized protein YwpD	ywpD BSU36350
BSU36360	Large-conductance mechanosensitive channel	mscL ywpC BSU36360
BSU36370	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ ywpB BSU36370
BSU36380	Response regulator aspartate phosphatase D (EC 3.1.-.-)	rapD ywpA BSU36380
BSU36390	Flagellar hook-basal body complex protein FlhP	flhP yvyB BSU36390
BSU36400	Flagellar hook-basal body complex protein FlhO	flhO yvyA BSU36400
BSU36410	Cell shape-determining protein Mbl (Actin-like Mbl protein) (Rod shape-determining protein Mbl)	mbl BSU36410
BSU36420	Stage III sporulation protein D (14 kDa transcription factor)	spoIIID BSU36420
BSU36430	Protein usd	usd BSU36430
BSU36440	Uncharacterized HTH-type transcriptional regulator YwoH	ywoH BSU36440
BSU36450	Uncharacterized MFS-type transporter YwoG	ywoG BSU36450
BSU36460	Uncharacterized protein YwoF	ywoF BSU36460
BSU36470	Allantoin permease (Allantoin transport protein) (Allantoin transporter)	pucI ywoE BSU36470
BSU36480	Uncharacterized MFS-type transporter YwoD	ywoD BSU36480
BSU36490	Uncharacterized isochorismatase family protein YwoC (EC 3.-.-.-)	ywoC BSU36490
BSU36499	NA	NA
BSU36500	Uncharacterized protein YwoB	ywoB BSU36500
BSU36510	Ammonium transporter (Membrane protein NrgA) (Protein AmtB)	nrgA amtB BSU36510
BSU36520	Nitrogen regulatory PII-like protein	nrgB BSU36520
BSU36530	Undecaprenyl-diphosphatase BcrC (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	bcrC ywoA BSU36530
BSU36540	Uncharacterized membrane protein YwnJ	ywnJ BSU36540
BSU36550	Stage II sporulation protein Q	spoIIQ ywnI BSU36550
BSU36560	Putative phosphinothricin acetyltransferase YwnH (PPT N-acetyltransferase) (EC 2.3.1.183)	ywnH BSU36560
BSU36570	Uncharacterized protein YwnG	ywnG BSU36570
BSU36575	NA	NA
BSU36580	Uncharacterized protein YwnF	ywnF BSU36580
BSU36590	Major cardiolipin synthase ClsA (CL synthase 2) (EC 2.7.8.-)	clsA ywnE BSU36590
BSU36600	HTH-type transcriptional activator mta (Multidrug transporter activation protein)	mta ywnD BSU36600
BSU36610	Uncharacterized protein YwnC	ywnC BSU36610
BSU36620	Uncharacterized protein YwnB	ywnB BSU36620
BSU36630	Putative HTH-type transcriptional regulator YwnA	ywnA BSU36630
BSU36640	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC BSU36640
BSU36650	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	ureB BSU36650
BSU36660	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)	ureA BSU36660
BSU36668	NA	NA
BSU36669	NA	NA
BSU36670	Stress response protein CsbD	csbD ywmG BSU36670
BSU36680	Uncharacterized membrane protein YwmF	ywmF BSU36680
BSU36690	Response regulator aspartate phosphatase B (EC 3.1.-.-) (Stage 0 sporulation protein P)	rapB spo0P ywmE BSU36690
BSU36700	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA narA narAB BSU36700
BSU36710	Sulfur carrier protein FdhD	fdhD narAA narQ BSU36710
BSU36720	Uncharacterized protein YwmE	ywmE BSU36720
BSU36730	Uncharacterized protein YwmD	ywmD BSU36730
BSU36739	NA	NA
BSU36740	Uncharacterized protein YwmC	ywmC BSU36740
BSU36750	Stage II sporulation protein D (Stage II sporulation protein C)	spoIID spoIIC BSU36750
BSU36760	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1 (EC 2.5.1.7) (Enoylpyruvate transferase 1) (UDP-N-acetylglucosamine enolpyruvyl transferase 1) (EPT 1)	murAA murA BSU36760
BSU36770	Uncharacterized protein YwmB	ywmB BSU36770
BSU36780	Uncharacterized membrane protein YwzB	ywzB BSU36780
BSU36790	Uncharacterized protein YwmA	ywmA BSU36790
BSU36800	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC BSU36800
BSU36810	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta) (Vegetative protein 31) (VEG31)	atpD BSU36810
BSU36820	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG BSU36820
BSU36830	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha) (Vegetative protein 100) (VEG100)	atpA BSU36830
BSU36840	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH BSU36840
BSU36850	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	atpF BSU36850
BSU36860	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE BSU36860
BSU36870	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB BSU36870
BSU36880	ATP synthase protein I	atpI BSU36880
BSU36890	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	upp BSU36890 ipc-35d
BSU36900	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA glyC BSU36900 ipc-34d
BSU36910	UPF0340 protein YwlG	ywlG BSU36910 ipc-33d
BSU36920	Putative sugar phosphate isomerase YwlF (EC 5.3.1.-)	ywlF BSU36920 ipc-32d
BSU36930	Protein-arginine-phosphatase (PAP) (EC 3.9.1.2) (Phosphoarginine phosphatase)	ywlE BSU36930 ipc-31d
BSU36940	Putative manganese efflux pump MntP	mntP ywlD BSU36940 ipc-30d
BSU36950	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein YwlC) (tRNA threonylcarbamoyladenosine biosynthesis protein YwlC)	ywlC BSU36950 ipc-29d
BSU36960	Uncharacterized protein YwlB	ywlB BSU36960 ipc-28d
BSU36970	Stage II sporulation protein R	spoIIR BSU36970 ipc-27d
BSU36980	UPF0715 membrane protein YwlA	ywlA BSU36980 ipc-26r
BSU36990	Uncharacterized protein YwkF	ywkF BSU36990
BSU37000	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	prmC ywkE BSU37000
BSU37010	Peptide chain release factor 1 (RF-1)	prfA BSU37010
BSU37020	Uncharacterized protein YwkD	ywkD BSU37020
BSU37030	Chromosome-anchoring protein RacA	racA ywkC BSU37030
BSU37040	Uncharacterized transporter YwkB	ywkB BSU37040
BSU37050	NAD-dependent malic enzyme 2 (NAD-ME 2) (EC 1.1.1.38) (Malate dehydrogenase MaeA) (Malic enzyme A)	maeA ywkA BSU37050
BSU37060	Thymidine kinase (EC 2.7.1.21)	tdk BSU37060
BSU37070	50S ribosomal protein L31	rpmE BSU37070
BSU37080	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	rho BSU37080
BSU37089	NA	NA
BSU37090	Fructose-1,6-bisphosphatase class 2 (FBPase class 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 2)	glpX ywjI BSU37090
BSU37100	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2 (EC 2.5.1.7) (Enoylpyruvate transferase 2) (UDP-N-acetylglucosamine enolpyruvyl transferase 2) (EPT 2)	murAB murA murZ BSU37100
BSU37110	Transaldolase (EC 2.2.1.2) (20 kDa phosphoprotein OrfU) (CSI9)	tal ywjH BSU37110
BSU37120	Probable fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	fbaA fba fba1 tsr BSU37120
BSU37130	Sporulation initiation phosphotransferase F (EC 2.7.-.-) (Stage 0 sporulation protein F)	spo0F BSU37130
BSU37140	Uncharacterized protein YwjG	ywjG BSU37140
BSU37150	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG ctrA BSU37150
BSU37160	DNA-directed RNA polymerase subunit delta (RNAP delta factor)	rpoE BSU37160
BSU37170	Acyl-CoA dehydrogenase (EC 1.3.99.-)	acdA acd BSU37170
BSU37180	Probable iron-sulfur-binding oxidoreductase FadF (EC 1.-.-.-)	fadF ywjF BSU37180
BSU37190	Minor cardiolipin synthase ClsB	clsB ywjE BSU37190
BSU37200	UV DNA damage endonuclease (UV-endonuclease) (UVED) (EC 3.-.-.-)	uvsE ywjD BSU37200
BSU37210	Uncharacterized protein YwjC	ywjC BSU37210
BSU37220	Uncharacterized protein YwjB	ywjB BSU37220
BSU37230	Uncharacterized ABC transporter ATP-binding protein YwjA	ywjA BSU37230
BSU37240	Probable cardiolipin synthase YwiE (CL synthase 1) (EC 2.7.8.-)	ywiE BSU37240
BSU37250	Nitrate reductase gamma chain (EC 1.7.5.1)	narI BSU37250
BSU37260	Probable nitrate reductase molybdenum cofactor assembly chaperone NarJ	narJ BSU37260
BSU37270	Nitrate reductase beta chain (EC 1.7.5.1)	narH BSU37270
BSU37280	Nitrate reductase alpha chain (EC 1.7.5.1)	narG BSU37280
BSU37290	Probable transcription regulator ArfM (Anaerobic respiration and fermentation modulator)	arfM BSU37290
BSU37300	Uncharacterized protein YwiC	ywiC BSU37300
BSU37310	Anaerobic regulatory protein	fnr BSU37310
BSU37320	Nitrite extrusion protein (Nitrite facilitator)	narK BSU37320
BSU37330	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS BSU37330
BSU37340	Uncharacterized beta-barrel protein YwiB	ywiB BSU37340
BSU37350	Subtilosin-A (Antilisterial bacteriocin subtilosin)	sboA sbo BSU37350
BSU37360	Bacteriocin-like protein SboX	sboX BSU37360
BSU37370	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA (EC 1.21.98.-)	albA ywiA BSU37370
BSU37380	Antilisterial bacteriocin subtilosin biosynthesis protein AlbB	albB ywhR BSU37380
BSU37390	Putative ABC transporter ATP-binding protein AlbC (Antilisterial bacteriocin subtilosin biosynthesis protein AlbC)	albC ywhQ BSU37390
BSU37400	Antilisterial bacteriocin subtilosin biosynthesis protein AlbD	albD ywhP BSU37400
BSU37410	Antilisterial bacteriocin subtilosin biosynthesis protein AlbE	albE ywhO BSU37410
BSU37420	Putative zinc protease AlbF (EC 3.4.24.-) (Antilisterial bacteriocin subtilosin biosynthesis protein AlbF)	albF ywhN BSU37420
BSU37430	Antilisterial bacteriocin subtilosin biosynthesis protein AlbG	albG ywhM BSU37430
BSU37440	Uncharacterized protein YwhL	ywhL BSU37440
BSU37450	Uncharacterized protein YwhK	ywhK BSU37450
BSU37460	Response regulator aspartate phosphatase F (EC 3.1.-.-)	rapF ywhJ BSU37460
BSU37470	Phosphatase RapF inhibitor (Phosphatase regulator F)	phrF ywhI BSU37470
BSU37480	Uncharacterized protein YwhH	ywhH BSU37480
BSU37490	Agmatinase (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)	speB ywhG BSU37490
BSU37500	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	speE ywhF BSU37500
BSU37510	Penicillin-binding protein 2D (PBP-2D) (PBP2d) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	pbpG ywhE BSU37510
BSU37520	Uncharacterized protein YwhD	ywhD BSU37520
BSU37530	Putative zinc metalloprotease YwhC (EC 3.4.24.-)	ywhC BSU37530
BSU37540	2-hydroxymuconate tautomerase (EC 5.3.2.6) ((2Z,4E)-2-hydroxyhexa-2,4-dienedioate keto-enol isomerase) (4-oxalocrotonate tautomerase) (4-OT)	ywhB BSU37540
BSU37550	Uncharacterized HTH-type transcriptional regulator YwhA	ywhA BSU37550
BSU37560	Threonine--tRNA ligase 2 (EC 6.1.1.3) (Threonyl-tRNA synthetase 2) (ThrRS 2)	thrZ thrS2 BSU37560
BSU37569	NA	NA
BSU37570	Methylenomycin A resistance protein (MMR peptide)	mmr BSU37570
BSU37580	Putative HTH-type transcriptional regulator YwgB	ywgB BSU37580
BSU37590	Uncharacterized protein YwgA	ywgA BSU37590
BSU37600	Uncharacterized protein YwfO	ywfO BSU37600 ipa-93d
BSU37610	UPF0741 protein YwzC	ywzC BSU37610
BSU37620	Prespore-specific transcriptional regulator RsfA	rsfA ywfN BSU37620 ipa-92r
BSU37630	Uncharacterized transporter YwfM	ywfM BSU37630 ipa-91d
BSU37640	Octanoyl-[GcvH]:protein N-octanoyltransferase (EC 2.3.1.204) (Octanoyl-[GcvH]:E2 amidotransferase)	lipL ywfL BSU37640 ipa-90d
BSU37650	HTH-type transcriptional regulator CysL (CysJI operon transcriptional activator)	cysL ywfK BSU37650 ipa-89d
BSU37660	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase) (Vegetative protein 43) (VEG43)	pta ywfJ BSU37660 ipa-88d
BSU37670	Coproheme decarboxylase (EC 1.3.98.5) (Coproheme III oxidative decarboxylase) (Hydrogen peroxide-dependent heme synthase) (Iron-coproporphyrin oxidative decarboxylase)	chdC hemQ ywfI BSU37670 ipa-87r
BSU37680	NADPH-dependent reductase BacG (EC 1.3.1.-) (Bacilysin biosynthesis oxidoreductase YwfH) (H2HPP reductase)	bacG ywfH BSU37680 ipa-86r
BSU37690	Transaminase BacF (EC 2.6.1.-) (Transaminase A)	bacF ywfG BSU37690 ipa-85d
BSU37700	Putative bacilysin exporter BacE	bacE ywfF BSU37700 ipa-84d
BSU37710	Alanine--anticapsin ligase (EC 6.3.2.49) (ATP-dependent dipeptide ligase) (Bacilysin synthetase) (L-Ala-L-amino acid dipeptide ligase) (L-alanine--L-anticapsin ligase) (L-amino acid ligase) (Lal)	bacD ywfE BSU37710 ipa-83d
BSU37720	Dihydroanticapsin 7-dehydrogenase (EC 1.1.1.385) (Bacilysin biosynthesis oxidoreductase BacC)	bacC ywfD BSU37720 ipa-82d
BSU37730	H2HPP isomerase (EC 5.3.3.19) (3-((4R)-4-hydroxycyclohexa-1,5-dien-1-yl)-2-oxopropanoate isomerase) (Bacilysin biosynthesis protein BacB) (Bi-cupin protein)	bacB ywfC BSU37730 ipa-81d
BSU37740	Prephenate decarboxylase (EC 4.1.1.100) (Bacilysin biosynthesis protein BacA) (Non-aromatizing prephenate decarboxylase)	bacA ywfB BSU37740 ipa-80d
BSU37750	Uncharacterized MFS-type transporter YwfA	ywfA BSU37750 ipa-79d
BSU37760	Amino-acid permease RocC	rocC BSU37760 ipa-78d
BSU37770	Protein RocB	rocB BSU37770 ipa-77d
BSU37780	1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)	rocA BSU37780 ipa-76d
BSU37790	Catabolic NAD-specific glutamate dehydrogenase RocG (NAD-GDH) (EC 1.4.1.2) (Glutamate dehydrogenase) (GlutDH) (Trigger enzyme RocG)	rocG gudA yweB BSU37790 ipa-75d
BSU37800	Probable biofilm-surface layer protein B	bslB yweA BSU37800 ipa-74d
BSU37810	Spore coat polysaccharide biosynthesis protein SpsL	spsL BSU37810 ipa-73d
BSU37820	Spore coat polysaccharide biosynthesis protein SpsK	spsK BSU37820 ipa-73d
BSU37830	dTDP-glucose 4,6-dehydratase (EC 4.2.1.46) (Spore coat polysaccharide biosynthesis protein SpsJ)	rfbB spsJ BSU37830 ipa-72d
BSU37840	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24) (Spore coat polysaccharide biosynthesis protein SpsI) (dTDP-glucose pyrophosphorylase) (dTDP-glucose synthase)	rmlA spsI BSU37840 ipa-71d
BSU37850	Spore coat polysaccharide biosynthesis protein SpsG	spsG spsH BSU37850 ipa-69d/ipa-70d
BSU37860	Spore coat polysaccharide biosynthesis protein SpsF	spsF BSU37860 ipa-68d
BSU37870	Spore coat polysaccharide biosynthesis protein SpsE	spsE BSU37870 ipa-67d
BSU37880	Spore coat polysaccharide biosynthesis protein SpsD (EC 2.3.1.-)	spsD BSU37880 ipa-66d
BSU37890	Spore coat polysaccharide biosynthesis protein SpsC	spsC BSU37890 ipa-65d
BSU37900	Spore coat polysaccharide biosynthesis protein SpsB	spsB BSU37900 ipa-64d
BSU37910	Spore coat polysaccharide biosynthesis protein SpsA	spsA BSU37910 ipa-63d
BSU37920	Spore coat protein GerQ	gerQ ywdL BSU37920 ipa-62r
BSU37930	UPF0382 membrane protein YwdK	ywdK BSU37930 ipa-61d
BSU37940	Putative purine permease YwdJ	ywdJ BSU37940 ipa-60d
BSU37950	Uncharacterized protein YwdI	ywdI BSU37950 ipa-59d
BSU37960	Putative aldehyde dehydrogenase YwdH (EC 1.2.1.3)	ywdH BSU37960 ipa-58r
BSU37970	Uracil-DNA glycosylase (UDG) (EC 3.2.2.27)	ung ywdG BSU37970 ipa-57d
BSU37980	Uncharacterized glycosyltransferase YwdF (EC 2.4.-.-)	ywdF BSU37980 ipa-56d
BSU37990	Uncharacterized protein YwdE	ywdE BSU37990 ipa-55d
BSU38000	Uncharacterized protein YwdD	ywdD BSU38000 ipa-54d
BSU38018	Putative DNA-binding protein YwzG	ywzG BSU38018
BSU38020	Pyridoxine kinase (EC 2.7.1.35) (PN/PL/PM kinase) (Pyridoxal kinase) (Pyridoxamine kinase) (Vitamin B6 kinase)	pdxK ywdB BSU38020 ipa-52r
BSU38030	Uncharacterized protein YwdA	ywdA BSU38030 ipa-51d
BSU38040	Sucrose-6-phosphate hydrolase (Sucrase) (EC 3.2.1.26) (Invertase)	sacA BSU38040 ipa-50d
BSU38050	PTS system sucrose-specific EIIBC component (EIIBC-Scr) (EII-Scr) [Includes: Sucrose-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system sucrose-specific EIIB component); Sucrose permease IIC component (PTS system sucrose-specific EIIC component)]	sacP BSU38050 ipa-49d
BSU38060	Uncharacterized transporter YwcJ	ywcJ BSU38060 ipa-48r
BSU38070	SacPA operon antiterminator	sacT BSU38070 ipa-47d
BSU38080	Uncharacterized protein YwcI	ywcI BSU38080 ipa-46d
BSU38090	Minor extracellular protease vpr (EC 3.4.21.-)	vpr BSU38090 ipa-45r
BSU38100	Uncharacterized protein YwcH	ywcH BSU38100 ipa-44d
BSU38110	FMN reductase (NADPH) (EC 1.5.1.38) (NADPH-dependent FMN reductase) (NADPH-dependent nitro/flavin reductase) (NADPH-dependent nitroreductase) (NADPH-dependent oxidoreductase)	nfrA1 nfrA ywcG BSU38110 ipa-43d
