	protein	gene
b4477	2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21) (2-oxo-3-deoxygalactonate 6-phosphate aldolase) (6-phospho-2-dehydro-3-deoxygalactonate aldolase) (6-phospho-2-keto-3-deoxygalactonate aldolase) (KDPGal)	dgoA yidU b4477 JW5628
b3693	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58) (2-keto-3-deoxy-galactonokinase) (2-oxo-3-deoxygalactonate kinase)	dgoK yidV b3693 JW3670
b4479	Galactonate operon transcriptional repressor (HTH-type transcriptional repressor DgoR)	dgoR yidW b4479 JW5627
b3696	Uncharacterized protein YidX	yidX b3696 JW5858
b3697	Sugar phosphatase YidA (EC 3.1.3.23)	yidA b3697 JW3674
b3698	Uncharacterized protein YidB	yidB b3698 JW3675
b3699	DNA gyrase subunit B (EC 5.6.2.2) (Type IIA topoisomerase subunit GyrB)	gyrB acrB cou himB hisU nalC parA pcbA b3699 JW5625
b3700	DNA replication and repair protein RecF	recF uvrF b3700 JW3677
b3701	Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit)	dnaN b3701 JW3678
b3702	Chromosomal replication initiator protein DnaA	dnaA b3702 JW3679
b4757	Protein YsdD	ysdD b4757
b3703	50S ribosomal protein L34 (Large ribosomal subunit protein bL34)	rpmH rimA ssaF b3703 JW3680
b3704	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA b3704 JW3681
b4557	Putative membrane protein insertion efficiency factor	yidD b4557 JW3682
b3705	Membrane protein insertase YidC (Foldase YidC) (Inner membrane protein YidC) (Membrane integrase YidC) (Oxa1Ec)	yidC b3705 JW3683
b3706	tRNA modification GTPase MnmE (EC 3.6.-.-)	mnmE thdF trmE b3706 JW3684
b3707	Tryptophanase operon leader peptide	tnaC tnaL b3707 JW3685
b3708	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)	tnaA ind b3708 JW3686
b3709	Low affinity tryptophan permease	tnaB trpP b3709 JW5619/JW5622
b3710	Multidrug resistance protein MdtL	mdtL yidY b3710 JW3688
b3711	HTH-type transcriptional regulator YidZ	yidZ b3711 JW3689
b3712	Uncharacterized protein YieE	yieE b3712 JW3690
b3713	Quinone reductase (EC 1.6.5.2) (Chromate reductase) (CHRR) (EC 1.6.-.-) (NAD(P)H dehydrogenase (quinone))	chrR yieF b3713 JW3691
b3714	Adenine permease AdeP	adeP purP yieG b3714 JW3692
b3715	6-phosphogluconate phosphatase (EC 3.1.3.-)	yieH b3715 JW3693
b3716	Inner membrane protein CbrB (CreB-regulated gene B protein)	cbrB yieI b3716 JW3694
b3717	UPF0167 protein CbrC (CreB-regulated gene C protein)	cbrC yieJ b3717 JW3695
b3718	Uncharacterized protein YieK	yieK b3718 JW5613
b3719	Uncharacterized protein YieL	yieL b3719 JW5612
b3720	Cryptic outer membrane porin BglH	bglH yieC b3720 JW3698
b3721	6-phospho-beta-glucosidase BglB (EC 3.2.1.86) (Phospho-beta-glucosidase B)	bglB b3721 JW3699
b3722	PTS system beta-glucoside-specific EIIBCA component (EIIBCA-Bgl) (EII-Bgl) [Includes: Beta-glucoside-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system beta-glucoside-specific EIIB component); Beta-glucoside permease IIC component (PTS system beta-glucoside-specific EIIC component); Beta-glucoside-specific phosphotransferase enzyme IIA component (PTS system beta-glucoside-specific EIIA component)]	bglF bglC bglS b3722 JW3700
b3723	Cryptic beta-glucoside bgl operon antiterminator	bglG bglC b3723 JW3701
b3724	Phosphate-specific transport system accessory protein PhoU (Pst system accessory protein PhoU) (Negative regulator of Pho regulon)	phoU nmpA b3724 JW3702
b3725	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	pstB phoT b3725 JW3703
b3726	Phosphate transport system permease protein PstA	pstA phoT b3726 JW3704
b3727	Phosphate transport system permease protein PstC	pstC phoW b3727 JW3705
b3728	Phosphate-binding protein PstS (PBP)	pstS phoS b3728 JW3706
b3729	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS b3729 JW3707
b3730	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU yieA b3730 JW3708
b3731	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC papG uncC b3731 JW3709
b3732	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	atpD papB uncD b3732 JW3710
b3733	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	atpG papC uncG b3733 JW3711
b3734	ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA papA uncA b3734 JW3712
b3735	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	atpH papE uncH b3735 JW3713
b3736	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)	atpF papF uncF b3736 JW3714
b3737	ATP synthase subunit c (ATP synthase F(0) sector subunit c) (Dicyclohexylcarbodiimide-binding protein) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein)	atpE papH uncE b3737 JW3715
b3738	ATP synthase subunit a (ATP synthase F0 sector subunit a) (F-ATPase subunit 6)	atpB papD uncB b3738 JW3716
b3739	ATP synthase protein I	atpI uncI b3739 JW5611
b3740	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase) (Glucose-inhibited division protein B)	rsmG gidB b3740 JW3718
b3741	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	mnmG gidA trmF b3741 JW3719
b3742	Protein MioC	mioC yieB b3742 JW3720
b3743	Regulatory protein AsnC	asnC b3743 JW3721
b3744	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	asnA b3744 JW3722
b3745	Protein ViaA (VWA domain protein interacting with AAA ATPase)	viaA yieD yieM b3745 JW5610
b3746	ATPase RavA (EC 3.6.3.-) (Regulatory ATPase variant A)	ravA yieN b3746 JW3725
b3747	Low affinity potassium transport system protein kup (Kup system potassium uptake protein)	kup trkD b3747 JW5609
b3748	D-ribose pyranase (EC 5.4.99.62)	rbsD b3748 JW5857
b3749	Ribose import ATP-binding protein RbsA (EC 7.5.2.7)	rbsA b3749 JW3728
b3750	Ribose import permease protein RbsC	rbsC b3750 JW3729
b3751	Ribose import binding protein RbsB	rbsB prlB rbsP b3751 JW3730
b3752	Ribokinase (RK) (EC 2.7.1.15)	rbsK b3752 JW3731
b3753	Ribose operon repressor	rbsR b3753 JW3732
b3754	Probable transport protein HsrA (High-copy suppressor of rspA)	hsrA yieO b3754 JW3733
b3755	Uncharacterized HTH-type transcriptional regulator YieP	yieP b3755 JW5608
b4480	HTH-type transcriptional regulator HdfR (H-NS-dependent flhDC regulator)	hdfR pssR yifA yifD b4480 JW5607
b3764	UPF0438 protein YifE	yifE b3764 JW3737
b3765	Uncharacterized protein YifB	yifB b3765 JW3738
b3766	ilv operon leader peptide (ilvGMEDA operon attenuator peptide)	ilvL b3766 JW3739
b4669	Uncharacterized protein IlvX	ilvX b4669 JW3740.1
b4488	Putative acetolactate synthase isozyme 2 large subunit (AHAS-II) (ALS-II) (Acetohydroxy-acid synthase II large subunit)	ilvG b4488 b3767
b3769	Acetolactate synthase isozyme 2 small subunit (EC 2.2.1.6) (ALS-II) (Acetohydroxy-acid synthase II small subunit) (AHAS-II)	ilvM b3769 JW3742
b3770	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B)	ilvE b3770 JW5606
b3771	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD b3771 JW5605
b3772	L-threonine dehydratase biosynthetic IlvA (EC 4.3.1.19) (Threonine deaminase)	ilvA b3772 JW3745
b3773	HTH-type transcriptional regulator IlvY	ilvY b3773 JW3746
b3774	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 2) (Ketol-acid reductoisomerase type II)	ilvC b3774 JW3747
b3775	Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Par10) (Parvulin) (Rotamase C)	ppiC parVA b3775 JW3748
b3777	Putative uncharacterized protein YifN	yifN b3777 JW3749 b3776
b3778	ATP-dependent DNA helicase Rep (EC 3.6.4.12)	rep b3778 JW5604
b3779	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40) (Guanosine pentaphosphate phosphohydrolase) (pppGpp-5'-phosphohydrolase)	gppA gpp b3779 JW5603
b3780	ATP-dependent RNA helicase RhlB (EC 3.6.4.13)	rhlB mmrA b3780 JW3753
b3781	Thioredoxin 1 (Trx-1)	trxA fipA tsnC b3781 JW5856
b3782	rho operon leader peptide (RhoL)	rhoL b3782 JW3755
b3783	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	rho nitA psuA rnsC sbaA tsu b3783 JW3756
b3784	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33) (UDP-GlcNAc:undecaprenyl-phosphate GlcNAc-1-phosphate transferase) (Undecaprenyl-phosphate GlcNAc-1-phosphate transferase)	wecA rfe b3784 JW3758
b3785	ECA polysaccharide chain length modulation protein	wzzE wzz yifC b3785 JW5601
b3786	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) (Bacteriophage N4 adsorption protein C) (UDP-GlcNAc-2-epimerase)	wecB nfrC rffE yifF b3786 JW5600
b3787	UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336) (UDP-ManNAc 6-dehydrogenase)	wecC rffD b3787 JW5599
b3788	dTDP-glucose 4,6-dehydratase 2 (EC 4.2.1.46)	rffG b3788 JW5598
b3789	Glucose-1-phosphate thymidylyltransferase 2 (G1P-TT 2) (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase 2) (dTDP-glucose synthase 2)	rffH rmlA2 yifG b3789 JW3763
b3790	dTDP-fucosamine acetyltransferase (EC 2.3.1.210) (TDP-fucosamine acetyltransferase) (dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase)	wecD rffC yifH b3790 JW5597
b3791	dTDP-4-amino-4,6-dideoxygalactose transaminase (EC 2.6.1.59)	wecE rffA yifI b3791 JW3765
b3792	Lipid III flippase	wzxE wzx yifJ b3792 JW3766
b4481	TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase (EC 2.4.1.325) (4-alpha-L-fucosyltransferase) (TDP-Fuc4NAc:lipid II Fuc4NAc transferase) (Fuc4NAc transferase)	wecF rffT yifM b4481 JW5596
b3793	Probable ECA polymerase	wzyE wzy b3793 JW3769
b3794	UDP-N-acetyl-D-mannosaminuronic acid transferase (UDP-ManNAcA transferase) (EC 2.4.1.180)	wecG rffM b3794 JW3770
b3795	Probable transport protein YifK	yifK b3795 JW5595
b3800	Anaerobic sulfatase-maturating enzyme homolog AslB (AnSME homolog)	aslB atsB b3800 JW5594
b3801	Putative sulfatase AslA (EC 3.1.6.-)	aslA atsA b3801 JW3773
b3802	Protein HemY	hemY b3802 JW3774
b3803	Protein HemX (ORF X)	hemX b3803 JW3775
b3804	Uroporphyrinogen-III synthase (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	hemD b3804 JW3776
b3805	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	hemC popE b3805 JW5932
b3806	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	cyaA cya b3806 JW3778
b3807	Iron-sulfur cluster assembly protein CyaY (Bacterial frataxin ortholog)	cyaY b3807 JW3779
b3808	Protein YzcX (CyaX) (O161)	yzcX cyaX b3808 JW3780
b4558	Uncharacterized lipoprotein YifL	yifL b4558 JW3781
b3809	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	dapF b3809 JW5592
b3810	Uncharacterized protein YigA	yigA b3810 JW3783
b3811	Tyrosine recombinase XerC	xerC b3811 JW3784
b3812	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB (EC 3.1.3.104)	yigB b3812 JW3785
b3813	DNA helicase II (EC 3.6.4.12)	uvrD mutU pdeB rad recL b3813 JW3786
b4482	Uncharacterized protein YigE	yigE b4482 JW5591
b3816	Magnesium transport protein CorA	corA b3816 JW3789
b3817	Uncharacterized protein YigF	yigF b3817 JW3790
b3818	Inner membrane protein YigG	yigG b3818 JW5590
b3819	Protein RarD	rarD b3819 JW5589
b3820	Uncharacterized protein YigI	yigI b3820 JW5588
b3821	Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4) (Detergent-resistant phospholipase A) (DR-phospholipase A) (Outer membrane phospholipase A) (OM PLA) (OMPLA) (Phosphatidylcholine 1-acylhydrolase)	pldA b3821 JW3794
b3822	ATP-dependent DNA helicase RecQ (EC 3.6.4.12)	recQ b3822 JW5855
b3823	Threonine efflux protein	rhtC yigJ b3823 JW5586
b3824	Homoserine/homoserine lactone efflux protein	rhtB yigK b3824 JW5585
b3825	Lysophospholipase L2 (EC 3.1.1.5) (Lecithinase B)	pldB b3825 JW5584
b3826	Pyridoxal phosphate phosphatase YigL (EC 3.1.3.74) (PLP phosphatase) (Sugar phosphatase) (EC 3.1.3.23)	yigL b3826 JW5854
b3827	Biotin transporter (Plasmamembrane biotin transport protein)	bioP yigM b3827 JW3803
b3828	HTH-type transcriptional regulator MetR	metR b3828 JW3804
b3829	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE b3829 JW3805
b3830	Putative carboxymethylenebutenolidase (EC 3.1.1.45) (Dienelactone hydrolase) (DLH)	ysgA b3830 JW5853
b3831	Uridine phosphorylase (UPase) (UrdPase) (EC 2.4.2.3)	udp b3831 JW3808
b3832	DNA recombination protein RmuC	rmuC yigN b3832 JW3809
b3833	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)	ubiE yigO b3833 JW5581
b3834	Ubiquinone biosynthesis accessory factor UbiJ	ubiJ yigP b3834 JW3811
b3835	Probable protein kinase UbiB (EC 2.7.-.-) (Ubiquinone biosynthesis protein UbiB)	ubiB aarF yigQ yigR yigS b3835 JW3812
b3836	Sec-independent protein translocase protein TatA	tatA mttA1 yigT b3836 JW3813
b3838	Sec-independent protein translocase protein TatB	tatB mttA2 ysgB b3838 JW5580
b3839	Sec-independent protein translocase protein TatC	tatC mttB yigU yigV b3839 JW3815
b4483	3'-5' ssDNA/RNA exonuclease TatD (EC 3.1.11.-) (EC 3.1.13.-) (DNase TatD)	tatD mttC yigW yigX b4483 JW5931
b3842	Transcription antitermination protein RfaH	rfaH hlyT sfrB b3842 JW3818
b3843	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98) (Polyprenyl p-hydroxybenzoate decarboxylase)	ubiD yigC yigY b3843 JW3819
b3844	NAD(P)H-flavin reductase (EC 1.5.1.41) (FMN reductase) (Ferrisiderophore reductase C) (NAD(P)H:flavin oxidoreductase) (Riboflavin reductase [NAD(P)H])	fre fadI flrD fsrC ubiB b3844 JW3820
b3845	3-ketoacyl-CoA thiolase FadA (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadA oldA b3845 JW5578
b3846	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB oldB b3846 JW3822
b3847	Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Proline dipeptidase) (Prolidase)	pepQ b3847 JW3823
b3848	IMPACT family member YigZ	yigZ b3848 JW5577
b3849	Trk system potassium uptake protein TrkH	trkH b3849 JW5576
b3850	Protoporphyrinogen IX dehydrogenase [quinone] (EC 1.3.5.3) (Protoporphyrinogen IX dehydrogenase [menaquinone]) (Protoporphyrinogen IX dehydrogenase [ubiquinone]) (Protoporphyrinogen oxidase) (PPO)	hemG yihB b3850 JW3827
b3856	Molybdopterin-guanine dinucleotide biosynthesis adapter protein (MGD biosynthesis adapter protein) (Molybdenum cofactor biosynthesis adapter protein) (Moco biosynthesis adapter protein) (Molybdopterin-guanine dinucleotide biosynthesis protein B)	mobB yihC b3856 JW5575
b3857	Molybdenum cofactor guanylyltransferase (MoCo guanylyltransferase) (EC 2.7.7.77) (GTP:molybdopterin guanylyltransferase) (Mo-MPT guanylyltransferase) (Molybdopterin guanylyltransferase) (Molybdopterin-guanine dinucleotide biosynthesis protein A) (Molybdopterin-guanine dinucleotide synthase) (MGD synthase) (Protein FA)	mobA chlB mob narB b3857 JW3829
b3858	Protein YihD	yihD b3858 JW3830
b3859	Stress response kinase A (EC 2.7.11.1) (Serine/threonine protein kinase YihE) (Serine/threonine-protein kinase SrkA)	srkA rdoA yihE b3859 JW3831
b3860	Thiol:disulfide interchange protein DsbA	dsbA dsf ppfA b3860 JW3832
b3861	Uncharacterized protein YihF	yihF b3861 JW5574
b3862	Probable acyltransferase YihG (EC 2.3.-.-)	yihG b3862 JW3834
b3863	DNA polymerase I (POL I) (EC 2.7.7.7)	polA resA b3863 JW3835
b3865	Probable GTP-binding protein EngB	engB yihA b3865 JW5930
b3866	Der GTPase-activating protein YihI (GAP)	yihI b3866 JW3837
b3867	Oxygen-independent coproporphyrinogen III oxidase (CPO) (EC 1.3.98.3) (Coproporphyrinogen III dehydrogenase) (CPDH)	hemN yihJ b3867 JW3838
b4686	Uncharacterized protein YshB	yshB b4686 JW3839.1
b3868	DNA-binding transcriptional regulator NtrC (Nitrogen regulation protein NR(I)) (Nitrogen regulator I) (NRI)	glnG glnT ntrC b3868 JW3839
b3869	Sensory histidine kinase/phosphatase NtrB (EC 2.7.13.3) (EC 3.1.3.-) (Nitrogen regulation protein NR(II)) (Nitrogen regulator II) (NRII)	glnL glnR ntrB b3869 JW3840
b3870	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	glnA b3870 JW3841
b3871	50S ribosomal subunit assembly factor BipA (EC 3.6.5.-) (GTP-binding protein BipA/TypA) (Ribosome assembly factor BipA) (Ribosome-dependent GTPase BipA) (Tyrosine phosphorylated protein A)	bipA o591 typA yihK b3871 JW5571
b3872	Uncharacterized HTH-type transcriptional regulator YihL	yihL b3872 JW3843
b3873	Uncharacterized protein YihM	yihM b3873 JW3844
b3874	Inner membrane protein YihN	yihN b3874 JW3845
b3875	Porin OmpL	ompL yshA b3875 JW3846
b3876	Putative sulfoquinovose importer	yihO b3876 JW5852
b3877	Putative 2,3-dihydroxypropane-1-sulfonate exporter	yihP b3877 JW3848
b3878	Sulfoquinovosidase (SQase) (EC 3.2.1.199)	yihQ squQ b3878 JW3849
b3879	Uncharacterized protein YihR	yihR b3879 JW3850
b3880	Sulfoquinovose isomerase (SQ isomerase) (EC 5.3.1.31)	yihS b3880 JW5569
b3881	Sulfofructosephosphate aldolase (SFP aldolase) (EC 4.1.2.57)	yihT b3881 JW3852
b3882	3-sulfolactaldehyde reductase (SLA reductase) (EC 1.1.1.373) (4-hydroxybutyrate dehydrogenase) (EC 1.1.1.61) (Gamma-hydroxybutyrate dehydrogenase) (GHBDH) (Succinic semialdehyde reductase) (SSA reductase)	yihU b3882 JW3853
b3883	Sulfofructose kinase (SF kinase) (EC 2.7.1.184)	yihV b3883 JW5568
b3884	HTH-type transcriptional repressor CsqR (Regulator of sulfoquinovose catabolism)	csqR yihW b3884 JW5567
b3885	Alpha-D-glucose 1-phosphate phosphatase YihX (Alpha-D-glucose-1-P phosphatase) (EC 3.1.3.10) (Alpha-D-glucose-1-phosphatase) (Haloacid dehalogenase-like phosphatase 4) (HAD4)	yihX b3885 JW5566
b3886	UPF0761 membrane protein YihY	yihY b3886 JW3857 b2268
b3887	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (D-tyrosyl RNA deacylase) (D-tyrosyl-tRNA(Tyr) deacylase) (Gly-tRNA(Ala) deacylase) (Gly-tRNA(Gly) deacylase)	dtd yihZ b3887 JW3858
b3888	Probable acyltransferase FabY (EC 2.3.1.-)	fabY yiiD b3888 JW3859
b3889	Uncharacterized protein YiiE	yiiE b3889 JW5929
b3890	Uncharacterized protein YiiF	yiiF b3890 JW5563
b3891	Protein FdhE	fdhE b3891 JW3862
b3892	Formate dehydrogenase, cytochrome b556(fdo) subunit (Aerobic formate dehydrogenase cytochrome b556 subunit) (FDH-Z subunit gamma) (Formate dehydrogenase-O subunit gamma)	fdoI b3892 JW3863
b3893	Formate dehydrogenase-O iron-sulfur subunit (Aerobic formate dehydrogenase iron-sulfur subunit) (FDH-Z subunit beta) (Formate dehydrogenase-O subunit beta)	fdoH b3893 JW3864
b3894	Formate dehydrogenase-O major subunit (EC 1.17.1.9) (Aerobic formate dehydrogenase major subunit) (FDH-Z subunit alpha) (Formate dehydrogenase-O subunit alpha)	fdoG b3894 JW3865
b3895	Sulfur carrier protein FdhD (Sulfurtransferase FdhD)	fdhD b3895 JW3866
b3896	Uncharacterized protein YiiG	yiiG b3896 JW3867
b3897	Putative frv operon regulatory protein [Includes: Putative phosphotransferase EIIA component (EC 2.7.1.-) (Putative PTS system EIIA component)]	frvR yiiH b3897 JW3868
b3898	Putative aminopeptidase FrvX (EC 3.4.11.-)	frvX yiiI b3898 JW3869
b3899	Fructose-like PTS system EIIBC component [Includes: PTS system fructose-like EIIB component (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIB component); PTS system fructose-like EIIC component (Fructose-like permease IIC component)]	frvB yiiJ b3899 JW5562
b3900	PTS system fructose-like EIIA component (Fructose-like phosphotransferase enzyme IIA component)	frvA yiiK b3900 JW3871
b3901	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM yiiL b3901 JW3872
b3902	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	rhaD rhuA b3902 JW3873
