	protein	gene
YP_004890855.1	Epsilon-coat protein	lp_3350
YP_004890856.1	Phage protein	lp_3351
YP_004890857.1	Small heat shock protein	hsp3 lp_3352
YP_004890858.1	General secretion pathway protein D	lp_3353
YP_004890859.1	Short-chain dehydrogenase/oxidoreductase,atypical SDR family, subgroup 6	lp_3355
YP_004890860.1	Acetyltransferase, GNAT family	lp_3356
YP_004890861.1	Drug/metabolite transport protein	lp_3358
YP_004890862.1	Hypothetical membrane protein, DUF125 family	lp_3359
YP_004890863.1	Hypothetical membrane protein, DUF125 family	lp_3360
YP_004890864.1	Penicillin V acylase family protein (EC 3.5.1.11)	pva2 lp_3362
YP_004890865.1	Copper transporting ATPase (EC 3.6.3.-)	copB lp_3363
YP_004890866.1	Transcription regulator of CopAB ATPases	copR lp_3365
YP_004890867.1	Bacteriocin immunity protein	lp_3366
YP_004890868.1	Zn-Finger Containing protein	lp_3367
YP_004890871.1	PLDc_N domain-containing protein	lp_3371
YP_004890872.1	Diguanylate cyclase	lp_3372
YP_004890873.1	DUF1398 domain-containing protein	lp_3373
YP_004890874.1	Purine-cytosine transport protein	lp_3374
YP_004890875.1	Phage transcriptional regulator, ArpU family	lp_3375
YP_004890876.1	Prophage P3 protein 13	lp_3377
YP_004890877.1	Prophage P3 protein 12	lp_3378
YP_004890878.1	Prophage P3 protein 11, DNA replication	lp_3379
YP_004890879.1	Prophage P3 protein 10	lp_3380
YP_004890880.1	Prophage P3 protein 9	lp_3381
YP_004890881.1	Prophage P3 protein 8, DNA primase/helicase	lp_3382
YP_004890882.1	Prophage P3 protein 7, DNA replication	lp_3383
YP_004890883.1	Prophage P3 protein 6	lp_3384
YP_004890884.1	Prophage P3 protein 5	lp_3385
YP_004890885.1	Prophage P3 protein 4	lp_3387
YP_004890886.1	Prophage P3 protein 3, phage-like repressor,C-term domain	lp_3388a
YP_004890887.1	Prophage P3 protein 3, phage-like repressor,N-term domain	lp_3388
YP_004890888.1	Prophage P3 protein 2, CI-like repressor	lp_3389
YP_004890889.1	Prophage P3 protein 1, integrase	lp_3390
YP_004890891.1	Transport protein, major facilitator superfamily (MFS)	lp_3392
YP_004890892.1	Cell surface hydrolase, membrane-bound	lp_3393
YP_004890893.1	DUF1836 domain-containing protein	lp_3394
YP_004890894.1	Nucleoside 2-deoxyribosyltransferase (EC 2.4.2.6)	lp_3397
YP_004890895.1	Cation transporting P-type ATPase (EC 3.6.3.-)	pacL3 lp_3398
YP_004890896.1	Bifunctional protein: 2',3'-cyclic-nucleotide 2'-phosphodiesterase 3'-nucleotidase (EC 3.1.3.6, EC 3.1.4.16)	cpdB lp_3400
YP_004890897.1	Transport protein	lp_3402
YP_004890898.1	2,5 diketo-D-gluconic acid-like reductase, NADP dependent (Promiscuous) (EC 1.1.1.-)	lp_3403
YP_004890899.1	Hypothetical membrane protein, DUF1212 family	lp_3404
YP_004890900.1	Hypothetical membrane protein, DUF1212 family	lp_3405
YP_004890902.1	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP bacA upk lp_3407
YP_004890903.1	Macro domain-containing protein lp_3408	lp_3408
YP_004890904.1	Transcription regulator, TetR family	lp_3409
YP_004890905.1	Hypothetical membrane protein	lp_3410
YP_004890906.1	Extracellular protein, DUF1002 family	lp_3411
YP_004890907.1	Cell surface protein, CscB family	lp_3412
YP_004890908.1	Cell surface protein, CscA/DUF916 family	lp_3413
YP_004890909.1	Cell surface protein, CscB family	lp_3414
YP_004890910.1	Transcription regulator, AraC family	lp_3415
YP_004890911.1	Transcription regulator, MarR family	lp_3416
YP_004890912.1	Transcription regulator, TetR family	lp_3417
YP_004890913.1	Phosphoenolpyruvate carboxykinase (ATP) (EC 4.1.1.49)	pck lp_3418
YP_004890914.1	XRE family transcriptional regulator	lp_3419
YP_004890915.1	Glutamate decarboxylase (EC 4.1.1.15)	gadB lp_3420
YP_004890916.1	Extracellular protein,gamma-D-glutamate-meso-diaminopimelate muropeptidase (EC 3.4.19.11)	lp_3421
YP_004890917.1	Peptidylprolyl isomerase	lp_3422
YP_004890918.1	Periplasmic protein	lp_3423
YP_004890919.1	SnoaL-like domain-containing protein	lp_3425
YP_004890920.1	DUF2316 family protein	lp_3426
YP_004890921.1	Metal-dependent hydrolase, C-terminal domain	lp_3427
YP_004890922.1	Metal-dependent hydrolase, N-terminal domain	lp_3427a
YP_004890923.1	Transcription regulator, TetR family	lp_3429
YP_004890924.1	Peroxidase	lp_3430
YP_004890925.1	Demethylmenaquinone methyltransferase (EC 2.1.1.163)	menG lp_3431
YP_004890926.1	S-adenosyl-L-methionine binding protein	lp_3432
YP_004890927.1	Endoglucanase E-like protein, SGNH hydrolase family	lp_3433
YP_004890928.1	Cadmium transporting P-type ATPase (EC 3.6.3.3)	cadA lp_3435
YP_004890929.1	Glycerol uptake facilitator protein-like 5	glpF5 lp_3436
YP_004890930.1	Thioredoxin	trxA3 lp_3437
YP_004890931.1	Metal-sensitive transcriptional regulator	lp_3438
YP_004890932.1	DUF2897 family protein	lp_3440
YP_004890933.1	DNA-binding ferritin-like protein, DPS family	dps2 lp_3441
YP_004890934.1	Heavy metal binding protein	lp_3442
YP_004890935.1	Transcription regulator, Crp family	lp_3444
YP_004890936.1	Endopeptidase PepO (EC 3.4.24.-)	pepO lp_3445
YP_004890937.1	Acetyltransferase, GNAT family	lp_3448
YP_004890938.1	NADH oxidase (EC 1.6.-.-)	nox5 lp_3449
YP_004890939.1	Cell surface protein, CscC family	lp_3450
YP_004890940.1	Cell surface protein, CscA/DUF916 family	lp_3451
YP_004890941.1	Cell surface protein, CscB family	lp_3452
YP_004890942.1	Cell surface protein, CscB family	lp_3453
YP_004890943.1	Cell surface protein (Putative)	lp_3454
YP_004890944.1	Cell surface protein, CscD family,LPXTG-motif cell wall anchor	lp_3458
YP_004890945.1	Peptidylprolyl isomerase	lp_3459
YP_004890946.1	DUF2201 domain-containing protein	lp_3460
YP_004890947.1	ATPase, MoxR family	lp_3461
YP_004890948.1	Glycerol uptake facilitator protein-like 6	glpF6 lp_3463
YP_004890949.1	Ubiquinone biosynthesis protein, ABC1 family	ubiB lp_3464
YP_004890950.1	Branched-chain amino acid transport system carrier protein	ileT lp_3466
YP_004890951.1	PTS regulated carbohydrate transporter, GPH family, lactose (Can switch between symport (H+) and antiport (Galactose))	lacS lp_3468
YP_004890952.1	Beta-galactosidase (Beta-gal) (EC 3.2.1.23)	lacA lp_3469
YP_004890953.1	Transcription regulator. LacI family, lactose related	lacR lp_3470
YP_004890954.1	Alpha-L-rhamnosidase (EC 3.2.1.40)	ram1 lp_3471
YP_004890955.1	Disaccharride transporter, major facilitator super family (MFS)	ramP1 lp_3472
YP_004890956.1	Alpha-L-rhamnosidase (EC 3.2.1.40)	ram2 lp_3473
YP_004890957.1	Disaccharride transporter, major facilitator super family (MFS)	ramP2 lp_3474
YP_004890958.1	Transcription regulator, AraC family,GlcNAc-like induced	ramR lp_3476
YP_004890959.1	Cell filamentation protein Fic	fic lp_3477
YP_004890960.1	Transcription regulator, Xre family	lp_3478
YP_004890961.1	Transcription regulator. LacI family, galactose related	galR lp_3479
YP_004890962.1	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	galT lp_3480
YP_004890963.1	UDP-glucose 4-epimerase (EC 5.1.3.2)	galE2 lp_3481
YP_004890964.1	Galactokinase (EC 2.7.1.6) (Galactose kinase)	galK lp_3482
YP_004890965.1	Beta-galactosidase (EC 3.2.1.23)	lacL lp_3483
YP_004890966.1	Beta-galactosidase (EC 3.2.1.23)	lacM lp_3484
YP_004890967.1	Alpha-galactosidase (EC 3.2.1.22)	melA lp_3485
YP_004890968.1	PTS regulated carbohydrate transporter, GPH family, raffinose/melibiose/galactose (Can switch between symport (H+) and antiport (Lactose))	rafP lp_3486
YP_004890969.1	Aldose 1-epimerase (EC 5.1.3.3)	galM3 lp_3487
YP_004890970.1	Transcription regulator. LacI family, raffinose related	rafR lp_3488
YP_004890971.1	Aldo/keto reductase family protein (EC 1.-.-.-)	lp_3489
YP_004890972.1	FMN-binding protein	lp_3490
YP_004890973.1	Fumarate reductase, flavoprotein subunit (EC 1.3.99.1)	lp_3491
YP_004890974.1	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	apbE3 lp_3492
YP_004890975.1	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	aroD lp_3493
YP_004890976.1	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroD2 aroE lp_3494
YP_004890977.1	Transcription regulator, LysR family	lp_3495
YP_004890978.1	Transposase	ISP2_5 lp_3496
YP_004890979.1	Shikimate transport protein	lp_3497
YP_004890980.1	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroD3 aroE lp_3498
YP_004890981.1	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	aroD4 aroE lp_3499
YP_004890982.1	Short-chain dehydrogenase/oxidoreductase	lp_3500
YP_004890983.1	Sugar phosphate isomerase/epimerase	lp_3501
YP_004890984.1	Transcription regulator, LysR family	lp_3502
YP_004890985.1	Shikimate transport protein	lp_3503
YP_004890986.1	Hypothetical membrane protein	lp_3504
YP_004890987.1	Acetyl esterase (Promiscuous) (EC 3.1.1.-)	estA lp_3505
YP_004890988.1	Transcription regulator, GntR family	lp_3506
YP_004890989.1	Permease IIC component	pts29C lp_3507
YP_004890990.1	N-acetylmuramic acid 6-phosphate etherase 1 (MurNAc-6-P etherase 1) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase 1) (N-acetylmuramic acid 6-phosphate lyase 1)	murQ1 lp_3508
YP_004890991.1	N-acetylglucosamine kinase	lp_3509
YP_004890992.1	PTS-associated protein	lp_3510
YP_004890993.1	6-phospho-beta-glucosidase (EC 3.2.1.86)	pbg8 lp_3512
YP_004890994.1	PTS system, beta-glucosides-specific EIIBCA component (EC 2.7.1.69)	pts30BCA lp_3513
YP_004890995.1	Transcription antiterminator, BlgB family	bglG4 lp_3514
YP_004890996.1	Transcription regulator and PTS system, EIIA component	lp_3516
YP_004890997.1	Cystathionine beta-lyase (EC 4.4.1.8)	cblA3 lp_3517
YP_004890998.1	PTS system fructose-specific EIIBC component (EC 2.7.1.69)	pts31BC lp_3518
YP_004890999.1	PTS system fructose-specific EIIA component (EC 2.7.1.69)	pts31A lp_3519
YP_004891000.1	PTS system glucose-specific EIICBA component (EC 2.7.1.69)	pts32A lp_3520
YP_004891001.1	Transcription regulator, RpiR family	lp_3521
YP_004891002.1	PTS system sucrose-specific EIIBC component (EC 2.7.1.69)	pts32BC lp_3522
YP_004891003.1	N-acetylmuramic acid 6-phosphate etherase 2 (MurNAc-6-P etherase 2) (EC 4.2.1.126) (N-acetylmuramic acid 6-phosphate hydrolase 2) (N-acetylmuramic acid 6-phosphate lyase 2)	murQ2 lp_3523
YP_004891004.1	PTS-associated protein	lp_3524
YP_004891005.1	6-phospho-beta-glucosidase (EC 3.2.1.86)	pbg9 lp_3525
YP_004891006.1	6-phospho-beta-glucosidase (EC 3.2.1.86)	pbg10 lp_3526
YP_004891007.1	PTS system beta-glucoside-specific EIIBCA component (EC 2.7.1.69)	pts33BCA lp_3527
YP_004891008.1	Transcription antiterminator, BlgB family	bglG5 lp_3529
YP_004891009.1	Trehalose phosphorylase (EC 2.4.1.64)	treP lp_3530
YP_004891010.1	Transcription regulator, LacI family	lp_3531
YP_004891011.1	Carbohydrate symporter, GPH family,maltose-isomaltose (Or trehalose), not sucrose	lp_3533
YP_004891012.1	Alpha-glucosidase (Malto-oligosaccharides) (EC 3.2.1.10, EC 3.2.1.2, EC 3.2.1.20)	agl lp_3534
YP_004891013.1	Uncharacterized protein	lp_3535
YP_004891014.1	Conjugated bile acid hydrolase (EC 3.5.1.-) (Bile salt hydrolase) (BSH) (Choloylglycine hydrolase) (EC 3.5.1.24)	cbh bsh lp_3536
YP_004891015.1	Hydrolase, HAD superfamily, Cof family	lp_3537
YP_004891016.1	Transketolase (EC 2.2.1.1)	tkt4 lp_3538
YP_004891017.1	Probable transaldolase (EC 2.2.1.2)	tal lp_3539
YP_004891018.1	PTS system, ascorbate-specific EIIC component	lp_3540
YP_004891019.1	PTS system, lactose/cellobiose-specific EIIB component	pts34B lp_3541
YP_004891020.1	PTS system, mannitol-specific EIIA component	pts34A lp_3542
YP_004891021.1	Bifunctional protein: transcription regulator PTS system, mannitol(Cryptic)-specific EIIA component (EC 3.1.3.18, EC 3.6.1.1)	lp_3543
YP_004891022.1	Phosphohydrolase, possibly 2-phosphoglycolate phosphohydrolase or inorganic pyrophosphatase	gph3 lp_3544
YP_004891023.1	D-arabitol-phosphate dehydrogenase (EC 1.1.1.-)	lp_3545
YP_004891024.1	PTS system, galactitol-specific EIIC component (EC 2.7.1.69)	pts35C lp_3546
YP_004891025.1	PTS system, galactitol-specific EIIB component (EC 2.7.1.69)	pts35B lp_3547
YP_004891026.1	PTS system, galactitol-specific EIIA component (EC 2.7.1.69)	pts35A lp_3548
YP_004891027.1	Transcription regulator, DeoR family	lp_3549
YP_004891028.1	Probable phosphoketolase 2 (EC 4.1.2.-)	lp_3551
YP_004891029.1	DUF1694 domain-containing protein	lp_3552
YP_004891030.1	Arabinose O-acetyltransferase (EC 2.3.1.-)	araO lp_3553
YP_004891031.1	L-arabinose isomerase (EC 5.3.1.4)	araA lp_3554
YP_004891032.1	L-ribulose 5-phosphate 4-epimerase (EC 5.1.3.4)	araD lp_3555
YP_004891033.1	L-ribulokinase (EC 2.7.1.16)	araB lp_3556
YP_004891034.1	Arabinose (Promiscuous) transporter, major facilitator superfamily (MFS)	araP lp_3557
YP_004891035.1	Transcription regulator, GntR family	araR lp_3558
YP_004891036.1	Transcription regulator, RpiR family	lp_3559
YP_004891037.1	DUF1694 domain-containing protein	lp_3560
YP_004891038.1	Lipase/esterase	lp_3561
YP_004891039.1	Lipase/esterase	lp_3562
YP_004891040.1	Sodium-coupled N-acetylneuraminate transporter	lp_3563
YP_004891041.1	Na(+)/H(+) antiporter	napA4 lp_3565
YP_004891042.1	N-acetylglucosamine 2-epimerase (EC 5.1.3.8)	lp_3566
YP_004891043.1	Bifunctional protein: N-acetyl mannosamine kinase, ROK family transcription regulator (EC 2.7.1.60)	nanK lp_3567
YP_004891044.1	N-acetylneuraminate lyase (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase)	nanA lp_3568
YP_004891045.1	Transposase	lp_3569
YP_004891046.1	Transposase	lp_3570
YP_004891047.1	Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase)	nanE lp_3571
YP_004891048.1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase (EC 1.-.-.-)	lp_3572
YP_004891049.1	Pyrimidine dimer DNA glycosylase	lp_3573
YP_004891051.1	Hypothetical membrane protein	lp_3575
YP_004891052.1	Phr family secreted Rap phosphatase inhibitor	lp_3576
YP_004891053.1	Hypothetical membrane protein	lp_3577
YP_004891054.1	Catalase (EC 1.11.1.6)	kat lp_3578
YP_004891055.1	RNA polymerase (RNAP)-binding regulatory protein, arsenate reductase (ArsC) family, Spx subfamily	spx5 lp_3579
YP_004891056.1	Two-component system response regulator accesory gene regulator protein A	lamA lp_3580
YP_004891057.1	Two-component system histidine protein kinase sensor protein (EC 2.7.3.-)	lamC lp_3581
YP_004891058.1	Auto-inducing peptide (AIP)	lamD lp_3581a
YP_004891059.1	Putative AgrB-like protein (EC 3.4.-.-)	lp_3582
YP_004891060.1	ATP-dependent Clp protease, ATP-binding subunit ClpL	clpL lp_3583
YP_004891061.1	L-lactate oxidase	lox lp_3586
YP_004891062.1	Pyruvate oxidase (EC 1.2.3.3)	pox4 lp_3587
YP_004891063.1	Transcription regulator, Rrf2 family	lp_3588
YP_004891064.1	Pyruvate oxidase (EC 1.2.3.3) (Pyruvic oxidase) (POX)	pox5 lp_3589
YP_004891065.1	DUF1694 domain-containing protein	lp_3590
YP_004891066.1	Hypothetical membrane protein	lp_3591
YP_004891067.1	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	rhaD lp_3592
YP_004891068.1	L-rhamnose isomerase (EC 5.3.1.14)	rhaA lp_3593
YP_004891069.1	L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)	rhaM lp_3594
YP_004891070.1	Rhamnulokinase (RhaB) (EC 2.7.1.5) (ATP:L-rhamnulose phosphotransferase) (L-rhamnulose 1-kinase) (Rhamnulose kinase)	rhaB lp_3595
YP_004891071.1	Beta-rhamnose transporter, major facilitator superfamily (MFS)	rhaT lp_3596
YP_004891072.1	Transcription regulator, AraC family, GlcNAc-like induced	rhaR lp_3597
YP_004891073.1	Transcription regulator, DeoR family	lp_3598
YP_004891074.1	PTS system, galactitol-specific EIIA component (EC 2.7.1.69)	pts36A lp_3599
YP_004891075.1	PTS system, galactitol-specific EIIB component (EC 2.7.1.69)	pts36B lp_3600
YP_004891076.1	PTS system, galactitol-specific EIIC component (EC 2.7.1.69)	pts36C lp_3601
YP_004891077.1	Phage protein	lp_3602
YP_004891078.1	Sugar-phosphate aldolase (EC 4.1.2.-)	lp_3603
YP_004891079.1	Myo-inositol (And similar sugars) transporter,major facilitator superfamily (MFS)	iolT1 lp_3604
YP_004891080.1	Myo-inositol 2-dehydrogenase-like (Promiscuous) (EC 1.1.1.-)	lp_3605
YP_004891081.1	Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase (EC 1.1.1.18) (EC 1.1.1.369) (Myo-inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase) (MI 2-dehydrogenase/DCI 3-dehydrogenase)	iolG lp_3606
YP_004891082.1	Inosose dehydratase (EC 4.2.1.44) (2-keto-myo-inositol dehydratase) (2KMI dehydratase)	iolE lp_3607
YP_004891083.1	Myo-inositol 2-dehydrogenase-like (Promiscuous) (EC 1.1.1.-)	lp_3608
YP_004891084.1	Myo-inositol (And similar sugars) transporter,major facilitator superfamily (MFS)	iolT2 lp_3611
YP_004891085.1	Myo-inositol 2-dehydrogenase-like (Promiscuous) (EC 1.1.1.-)	lp_3612
YP_004891086.1	UPF0303 protein lp_3613	lp_3613
YP_004891087.1	Oxidoreductase, medium chain dehydrogenase/reductase family (MDR) (EC 1.-.-.-)	lp_3614
YP_004891088.1	Inosine-uridine nucleoside N-ribohydrolase (EC 3.2.2.1)	lp_3615
YP_004891089.1	Transaldolase (EC 2.2.1.2)	tal3 lp_3617
YP_004891090.1	PTS system, glucitol/sorbitol-specific EIIA component (EC 2.7.1.69)	pts37A lp_3618
YP_004891091.1	PTS system, glucitol/sorbitol-specific EIIB component and second of two IIC components (EC 2.7.1.69)	pts37BC lp_3619
YP_004891092.1	PTS system, glucitol/sorbitol-specific EIIC component (EC 2.7.1.69)	pts37C lp_3620
YP_004891093.1	Sorbitol operon activator	srlM1 lp_3621
YP_004891094.1	Sorbitol operon transcription antiterminator,BglG family	srlR1 lp_3622
YP_004891095.1	Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140)	srlD1 lp_3623
YP_004891096.1	Transcription regulator, LacI family	lp_3625
YP_004891097.1	Maltose-isomaltose oligosaccharide proton symporter, GPH family	lp_3626
YP_004891098.1	Exo-alfa-1,4-glucosidase (EC 3.2.1.10, EC 3.2.1.2, EC 3.2.1.20)	lp_3627
YP_004891099.1	Beta-galactosidase (EC 3.2.1.21)	bgl lp_3629
YP_004891100.1	Bifunctional protien: transcription regulator sugar kinase, ROK family (EC 2.7.1.-)	lp_3630
YP_004891101.1	Alpha-mannosidase (Promiscuous) (EC 3.2.1.114, EC 3.2.1.24)	lp_3631
YP_004891102.1	Glycosyl hydrolase, DUF336 family	lp_3632
YP_004891103.1	Transcription regulator, GntR family	lp_3633
YP_004891104.1	Alpha-1,2-mannosidase (EC 3.2.1.-)	lp_3634
YP_004891105.1	ABC transporter, ATP-binding protein, mannose related oligosaccharides	lp_3635
YP_004891106.1	Fructokinase (EC 2.7.1.4)	sacK2 lp_3637
YP_004891107.1	Two-component system response regulator (EC 2.7.3.-)	yesN lp_3638
YP_004891108.1	Two-component system histidine protein kinase sensor protein	yesM lp_3639
YP_004891109.1	Hypothetical membrane protein, DUF624 family	lp_3640
YP_004891110.1	Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)	dexB lp_3641
YP_004891111.1	ABC transporter, substrate binding protein,mannose-related oligosaccharides	lp_3642
